"","Gene","log2FC","pVal","qVal","Direction"
"199","CNNM1",0,1,1,"DOWN"
"200","SPIRE1",0,1,1,"DOWN"
"201","GRK6",3.19244606917434e-16,0.999999968157293,1,"UP"
"202","SYT7",0.136692904299175,0.0561738805089607,0.237466042936175,"UP"
"203","ATP5H",0.241793636456549,0.0222395368533837,0.157633652078546,"UP"
"204","APP",-0.150575028872342,0.277476862982865,0.558897959981122,"DOWN"
"205","RPL30",-2.34775276047947e-19,0.999999999578252,1,"DOWN"
"206","SLC22A17",-3.84898240093912e-16,0.999999954439708,1,"DOWN"
"207","DHRS4",0.0322470034565805,0.448079671646059,0.784346997804157,"UP"
"208","TIMM23;GM10273",0,1,1,"DOWN"
"209","AMPH",-0.132274617646032,0.0417703328968894,0.209146861183365,"DOWN"
"210","OSCP1",0,1,1,"DOWN"
"211","ANKRD29",-0.115358987646866,0.0185306731030735,0.144274526302501,"DOWN"
"212","SLC9A6",0.0671332675900222,0.147653244493109,0.388893396741145,"UP"
"213","PLCG1",0.150171196676904,0.0712762311974991,0.264914205399811,"UP"
"214","CACNB1",0.0482664540366661,0.295837745380149,0.587117766391696,"UP"
"215","RPL19",0.0289113398531317,0.417885907211153,0.745001311211154,"UP"
"216","ARFGEF2",-2.90166967217268e-11,0.999977296279982,1,"DOWN"
"217","TANC2",3.32967640529576e-15,0.999999805114422,1,"UP"
"218","ATP5L",0.170400637987153,0.023775429844064,0.162686584056796,"UP"
"219","CLCN6",-3.05290176067674e-13,0.999998486098374,1,"DOWN"
"220","YARS",0,1,1,"DOWN"
"221","PARK7",-0.121884489034434,0.151473083924784,0.393108717804796,"DOWN"
"222","EPB41",0,1,1,"DOWN"
"223","ATP5O",0.172463397319783,0.00622428489185595,0.0824281466519616,"UP"
"224","PCYT2",0,1,1,"DOWN"
"225","ATP9A",0.0871826436574899,0.00181760008289687,0.0402428018353885,"UP"
"226","RPTOR",-0.0575314598762764,0.0904728721388691,0.295732548606177,"DOWN"
"227","ACAP3",0,1,1,"DOWN"
"228","DDI2",0,1,1,"DOWN"
"229","AMPD2",-0.0339041226038773,0.35692892180835,0.669454347106449,"DOWN"
"230","BC017158;sp|Q91W34|RUS1_MOUSE",0.113854078833436,0.0471861971627297,0.22250529577234,"UP"
"231","AP3M2",-0.0804394686879448,0.00741588336392539,0.0904759743945224,"DOWN"
"232","FHL1",5.55274657853427e-13,0.999998157675211,1,"UP"
"233","RAB9;RAB9A",5.51038662485764e-13,0.999998522511013,1,"UP"
"234","HUWE1",-0.0492335125203505,0.274182047509847,0.554335971168125,"DOWN"
"235","BCAP31",0.1567388242371,0.001069409245836,0.0297687911309612,"UP"
"236","PSMC3",-1.2536187297855e-15,0.999999879378812,1,"DOWN"
"237","BCL2L13",0.136358251742236,0.0279062684347375,0.173688568402421,"UP"
"238","LZTS3",0.0910238026985764,0.0991865995484922,0.310259186667138,"UP"
"239","DGKZ",-5.23779957383953e-17,0.999999982117235,1,"DOWN"
"240","BCL2L1",0,1,1,"DOWN"
"241","GRIN1",0.111932341068685,0.143859876597646,0.38389726014852,"UP"
"242","USP8",0,1,1,"DOWN"
"243","CACNA1B",0.075930956322861,0.0776992727140905,0.275805271456756,"UP"
"244","NPDC1",0,1,1,"DOWN"
"245","APLP1",-0.178607046588409,0.0112456600932491,0.115144353479883,"DOWN"
"246","BCS1L",0.106236287974346,0.0497087810299865,0.226281007713242,"UP"
"247","LCN5",0,1,1,"DOWN"
"248","TTC1",-0.00654478926207118,0.773629098886857,1,"DOWN"
"249","PDP1",1.41546203481977e-18,0.999999997655654,1,"UP"
"250","SNTA1",0,1,1,"DOWN"
"251","BRINP1",0.104157968206867,0.0112940825703227,0.115144353479883,"UP"
"252","SLC25A51",0.123614128466334,0.145112883471073,0.385787909715781,"UP"
"253","HNRNPA3",0,1,1,"DOWN"
"254","ATP2B3",0.0728343680040003,0.209352786903342,0.46662300306693,"UP"
"255","RAP1GAP",-0.120509978033233,0.0738111779886696,0.269446068381433,"DOWN"
"256","SH3GL2",-0.0962750780989827,0.107189393546841,0.321833008056043,"DOWN"
"257","BSG",0.14837036011259,0.0211893903486586,0.156251560861122,"UP"
"258","TMEFF1",0.0674666182926763,0.410952478291714,0.736647263427399,"UP"
"259","UBR4",2.65713171297448e-20,0.999999999852746,1,"UP"
"260","NDUFB6",0.181752715225062,0.101584343263105,0.313264449192208,"UP"
"261","CD99L2",0,1,1,"DOWN"
"262","BSN",0.129832828680368,0.000992382120716284,0.0297687911309612,"UP"
"263","SCN1A",0.0886821440790178,0.148008114666156,0.389104820931248,"UP"
"264","NDUFAF5",0.015898154213672,0.607084686954606,0.99853627558291,"UP"
"265","TMEM87A",-0.0945510465408006,0.200575064437702,0.454380281867663,"DOWN"
"266","MAP1A",-2.78379685497421e-16,0.99999995297983,1,"DOWN"
"267","C2CD2L",0.108328688649216,0.00594200250732423,0.0794322410648908,"UP"
"268","PKP4",0,1,1,"DOWN"
"269","NCKAP1",-0.0644835889923284,0.0577242795809995,0.240770622274528,"DOWN"
"270","SLC25A25",0.0292884014534254,0.436981675879435,0.769669364794762,"UP"
"271","GORASP2",-0.0210682072075997,0.561964497306007,0.940701349890858,"DOWN"
"272","RTN4RL2",1.4408387392739e-16,0.999999952873124,1,"UP"
"273","EPB41L1",-0.084499419765817,0.0950057481390288,0.303969958816106,"DOWN"
"274","FIBCD1",0.0775237810367444,0.145317715000463,0.385970388295513,"UP"
"275","BCAS1",0.07941980973341,0.170073189908058,0.414078539690236,"UP"
"276","APPL1",-0.0876878746364706,0.0259296950452357,0.166255103525335,"DOWN"
"277","ARAF",-0.137415209383505,0.0247138681434649,0.163817862986075,"DOWN"
"278","EPHA7",0.0240605667071905,0.56070019847122,0.939139694129692,"UP"
"279","CACNA1A",0.10503407420268,0.00692803134132456,0.0883317079369052,"UP"
"280","CACNA2D2",0.153019965343782,2.6542154859372e-05,0.00289309487967155,"UP"
"281","UHRF1BP1L",-2.25694680960252e-15,0.999999959481568,1,"DOWN"
"282","ARHGAP35",-0.253655687794739,0.00517959669014677,0.0747332170024789,"DOWN"
"283","ARRB1",-0.166096772965196,0.0336955928660138,0.186875362391944,"DOWN"
"284","SPTAN1",3.17574359561923e-17,0.999999987721133,1,"UP"
"285","CACNB2",0.0992446227367661,0.0303883753893623,0.178673559861935,"UP"
"286","CACNB3",0.152304031144463,0.00260809671924358,0.0505090649548993,"UP"
"287","ARMT1",0,1,1,"DOWN"
"288","TTC23L",-0.0359238332001455,0.529091657583644,0.892527236661933,"DOWN"
"289","PTPRN",-0.0810937170506526,0.103842146706353,0.317485550191054,"DOWN"
"290","MAPK8",0,1,1,"DOWN"
"291","NRD1;NRDC",-6.61336381896971e-18,0.999999996652404,1,"DOWN"
"292","ASPA",-0.181549973110721,0.00143545670327589,0.0347699512571272,"DOWN"
"293","PRICKLE2",0.000421486184445544,0.930191237709587,1,"UP"
"294","HBB-BS;HBB-B1;HBB-B2",-6.89618762111967e-14,0.999999661946848,1,"DOWN"
"295","LINGO1",1.44471115344854e-19,0.999999999418863,1,"UP"
"296","NLGN4L",0.0707020436725257,0.0830956348624045,0.284725678130306,"UP"
"297","VAMP2",4.29312622651418e-20,0.999999999910572,1,"UP"
"298","CHP1",0.1034802395985,0.0860690991056806,0.290380746268451,"UP"
