"","logFC","logCPM","LR","PValue","FDR"
"Gm22203",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Ano9",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm48466",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm47889",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"4930471D02Rik",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Rdh9",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm46233",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm19459",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm19007",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm19181",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm36935",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Or6c3",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Mir6911",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm22105",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Ifngas1",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"1700021A07Rik",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm7561",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm15656",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm15654",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm45740",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm45296",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm56004",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm48449",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm9399",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm49293",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm48991",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm55136",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Traj3",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Traj2",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm9547",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm49026",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm4042",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm34885",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm47219",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Or10g6",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm39404",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm47289",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm57062",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm22455",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm12336",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm12085",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm12125",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm12287",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm11196",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm24582",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm57414",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm11766",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm12056",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Vmn1r-ps113",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Vmn1r209",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm9742",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm17450",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm18131",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm48649",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm25856",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Mir323",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Rpl26-ps2",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm19134",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm47688",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm47566",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm24449",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Ighv1-7",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm48809",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm54857",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm7370",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Serpina3a",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm17191",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm9110",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm40438",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
"Gm49213",0.897585794587735,-3.82100287174495,1.22178307196482,0.26901100708709,0.694912227504737
