"","logFC","logCPM","LR","PValue","FDR"
"Gm40630",-0.349591285729476,-3.23464345397889,0.206850163383347,0.649247495750554,0.931818085188782
"9330104G04Rik",-0.349587124068763,2.16621862397271,2.04280205920463,0.152927717899856,0.529588617026464
"Gm44622",-0.34957851815724,-3.05978556942975,0.254013916217318,0.614262829677364,0.905478153703824
"Gm42470",-0.349554168926012,-3.6435950003486,0.0963927357921772,0.756202204449319,1
"Hycc1",-0.349541879469329,4.62916056487532,3.73265757461913,0.0533584334199633,0.334593165181325
"Abhd12",0.349534363834125,8.42879349152853,6.48850121929819,0.0108574478875993,0.172183725343995
"Aldh16a1",0.349442995765287,3.38925633777759,3.53009658155655,0.0602642776281711,0.355578208922567
"Mtmr9",-0.349383720887422,6.33022160602899,4.74277993184406,0.0294214926535996,0.265975969760756
"Aox4",-0.349345715871146,-0.744355808336248,0.411451862653092,0.521233515614145,0.837023067524309
"Cnn2",0.349335515692156,3.64295115114166,2.41524802735239,0.12015893720557,0.46414269370863
"Gm42984",0.349234530125698,-0.669802544945486,1.13361132439215,0.287006345754705,0.661873492808235
"Zfp62",-0.349188283622516,4.70796713565417,2.48923625019026,0.11462733818878,0.454731228843526
"Htr5a",-0.349180236083295,2.88712896328948,1.26255349795144,0.261168301161326,0.628160433975615
"Gm14587",0.349139879261112,-3.6410607511882,0.0646572823312557,0.799280823599462,1
"Gm37084",-0.349129438195985,-2.91985219561331,0.158471845109368,0.690567366216539,0.96268539407293
"Cyp4f13",0.349124889836638,3.79668682006615,2.89104644931401,0.0890730531962784,0.409788462630808
"Gm36423",0.349118274147285,-2.87557240952435,0.325203211893397,0.568497356419103,0.872212997310946
"Pnpla8",-0.349113985365594,6.76795338583996,4.73842244755619,0.0294961067441492,0.266222485108107
"Gm37127",-0.349101932739518,-3.60348906001458,0.117168297890025,0.732126226061292,0.991816223851266
"Ankib1",-0.349097711214396,6.1252899206881,3.41562503639347,0.0645819525812774,0.364916772258349
"Ifi44",0.349076507758661,2.80711017827995,0.402466348760541,0.525818272703413,0.840735317728485
"Rhbdl3",-0.349072255193135,5.06183711661773,3.66959975444972,0.0554134895975967,0.341068078819547
"Gm20337",0.349005593451781,-0.223685752554068,1.94441330786969,0.163190144200941,0.544786605815958
"Esrrb",-0.348980606572798,3.26163928074888,1.04160142322424,0.307449315535257,0.663812875548954
"Gbgt1",0.348952995893868,0.278132099309918,0.700450964967576,0.402632204969267,0.732280113658411
"Gm50249",0.348932191244487,-3.35237674318713,0.100531974343216,0.751192175625439,1
"Kctd16",-0.348927263733117,1.24843892802863,0.899390485895561,0.342945196853311,0.687257195050429
"Mrps16",0.348877239012259,4.14620322716053,4.01869013702482,0.0449986491709829,0.311062843347218
"Nup153",-0.348870886338403,5.43480052121298,2.2201765727269,0.136217479814882,0.496455994099801
"Rbbp6",-0.348832034136887,6.10889144805602,4.38917268890828,0.0361678592699239,0.288539288672059
"Mapre2",-0.348818804810339,8.06928382804172,2.84287624179194,0.0917797933749998,0.41427130370468
"Iah1",0.348790569751671,3.6672328966158,3.97092382280899,0.0462923683395319,0.31565992163606
"5330439M10Rik",0.348697177912948,-3.0803422981093,0.160121582176071,0.689044603725201,0.96172112363041
"Ust",-0.348663944520738,4.93258927431491,2.99402843638035,0.0835720276822583,0.39570294497791
"Ttc9",-0.348650892856289,6.46004066602121,4.01055069145843,0.0452163797377137,0.311965280079956
"Gm45873",-0.348623369235918,-3.16208371390351,0.146314082444107,0.702082936145028,0.971376373496588
"1700016B15Rik",0.348545168800281,-3.44777592354937,0.118157570154734,0.73104140796831,0.991233623584714
"Eif5a",0.348528595781688,7.568165642646,7.22949066382816,0.00717155511540605,0.143580661697608
"Gm23294",-0.348472493650413,-3.71855389583351,0.0973982359258532,0.754974478601884,1
"Usb1",0.348470004906454,3.02572764860119,3.42127229873763,0.0643613924218333,0.364440846797836
"Afdn",-0.348456728902588,5.82366554042778,3.95644566376831,0.0466921954682424,0.316555355388641
"Esco1",-0.348349759315038,3.3949075258575,2.69878131739891,0.100424983068328,0.431459427639287
"Mavs",0.348345295819831,4.50722808011587,3.96255444648214,0.046523053904731,0.316202782532437
"Gm15446",-0.348306288955229,2.57922238703654,1.46373669452905,0.226336508177523,0.585914587199966
"Armcx3",-0.348304331491888,3.37503475580409,3.14759686343698,0.0760388715266302,0.39007628979662
"Abtb3",-0.34823573703087,5.70693300207045,2.84819505332936,0.0914765839456205,0.41427130370468
"Ldhb-ps",-0.348223923353172,-1.18406228696219,1.41082821525448,0.234918953459894,0.597975709235981
"Gm29246",-0.3481996339023,-2.45392760228451,0.440890700433878,0.506692865226839,0.823313155060833
"Cmtm6",0.348133634409917,6.1173446526812,2.1196796131252,0.145416961102048,0.515286718800799
"Zeb2os",0.348125210048998,2.71432327888564,2.23616365546634,0.134815095595455,0.493503816374632
"D630045J12Rik",-0.348111064850748,4.80875497681083,3.31945130242554,0.0684646757047107,0.373919536618998
"Atp8b5",0.348009058792162,0.127436251721121,0.822848578535977,0.36434862273189,0.709601252743583
"Marchf8",-0.348004000301723,7.08164467903353,3.36568875461749,0.0665677431059684,0.369116448650699
"Dnajc17",0.348000733056453,2.56987699816578,3.58099150958418,0.0584442580914376,0.351414509386102
"Nfkbiz",0.347951837876093,2.88273929239916,1.02714612480091,0.310829904659113,0.663812875548954
"2810001A02Rik",0.347928517025183,2.55990363818549,1.87404900827367,0.171012061134008,0.544786605815958
"Car7",-0.347922981956884,2.88488097162653,1.20054066142486,0.273213644273837,0.644181277840093
"Trgv2",0.347868170702342,-3.64484796394871,0.12076297568521,0.728208449698543,0.989539901559911
"5430425E15Rik",-0.347792844634496,-3.57198332680308,0.0666289539611657,0.796309782712123,1
"2310022B05Rik",-0.347786255863069,7.31908924896359,2.73709555263753,0.0980428182180299,0.42797582885789
"Pptc7",-0.347730546567395,6.54981314612943,4.61721863935809,0.0316525235579274,0.274274625043742
"Kcna4",-0.347730529657748,2.81639611729343,1.51459718733406,0.218438934308383,0.573160115546448
"Gm5652",-0.347641251972992,-2.46560147208291,0.470704088264338,0.492663433252992,0.81045368814607
"Lats1",-0.347570462736716,5.5469502192646,2.72757980504026,0.0986286421103575,0.429585874439584
"H13",0.3475585492302,6.3548199133292,6.5107213714846,0.0107226001010853,0.171496246476562
"Panx2",-0.34752704352459,7.66475693621759,2.2586021750095,0.132873948769811,0.490180055747073
"Mfge8",0.347492947867926,5.53894309064271,5.80757467270795,0.0159572867729792,0.203763868202927
"3300002I08Rik",0.347484083383079,-0.124307626392543,1.53633245017308,0.215164539205603,0.567253277138095
"Atl2",-0.34743282568888,6.11055903286554,4.19270438657624,0.0405982844030443,0.295322319790839
"Scrt1",-0.347371791533959,8.11464036846665,2.36998586225605,0.123688171633553,0.470476432515296
"Tmem98",0.347367600578153,4.90753217901171,4.99544818229768,0.0254140710848984,0.245598637852366
"Gm37132",-0.347364861985053,-2.31813623262427,0.377648136591645,0.53886460913835,0.852023648496478
"Enkd1",0.347336198582919,2.15073078457987,3.83666499004434,0.0501431655989984,0.326277151717655
"Gnai1",-0.347331004162172,7.10915382550572,3.80223001316138,0.0511843709191674,0.328014982700968
"1700102P08Rik",-0.347266962046515,-0.967884421169023,0.694681674146906,0.404576520094482,0.734417299435259
"Klc1",-0.347252447670729,9.030613544873,3.04766323026865,0.0808533985201773,0.39007628979662
"Gm11738",0.347210155957275,-2.01022614532514,0.211907063094976,0.645276756245427,0.928955714653288
"Efr3b",-0.347196371518453,7.92943826939567,3.67183708193115,0.055339157266836,0.34089720585868
"Gm49032",-0.347167045295675,-1.11510001037165,1.10991267112574,0.292100932678985,0.663812875548954
"Scrn3",-0.347078473621267,5.36430856936782,4.15627738570281,0.041480475066829,0.298867468260197
"Nadk2",-0.347014246317801,6.75364555734401,1.69263604011475,0.193253845282255,0.544786605815958
"4833403J16Rik",0.346976134704532,-1.51096043304918,0.773292234566087,0.379200496234964,0.709805257766638
"Usp54",-0.346953627499759,7.36246746498701,4.59257203514775,0.0321107934104804,0.275767709190666
"Sp100",0.346892333395419,3.26734433876625,1.34634750536633,0.245917667180836,0.608662849645028
"Gm44104",-0.346885986963297,-2.71411318965481,0.187506097657113,0.665000427013808,0.94358622233924
"Col27a1",0.346796947765535,3.5668250314027,0.983704994114035,0.32128581140295,0.663812875548954
"2310001H17Rik",0.346786439357795,-0.330143523900308,0.539827091411507,0.462504394202914,0.78285651740204
"Zfas1",0.346772372476786,4.36644671302841,3.02162897032859,0.0821609004394159,0.391754718618516
"Gm13094",0.346731582690566,-3.64497251917225,0.120317664151111,0.728690212255364,0.989644635716363
"Gm48677",0.346711845972061,-3.6430770882917,0.0913536478467325,0.762463274851347,1
"Arhgap17",0.346672255410516,4.64749919769446,3.81548530938509,0.0507808922533105,0.326722103601797
"Arhgef17",-0.346606772560811,7.41489130648442,3.87107558200445,0.0491250300953653,0.324644894386748
"Slc22a6",-0.346584549212768,-0.438932417214016,0.162145785776847,0.687188579048006,0.960424303515554
"Platr27",0.346559095805658,-2.79143053576216,0.249195723517268,0.617641963392148,0.907906237482852
"4930412C18Rik",-0.346557667445115,2.41674056926291,2.40331348549422,0.121078549894873,0.465089226585402
"Msx3",0.346512578644473,-3.4182270458787,0.113298678934571,0.736419442942266,0.994585701813428
"Gm50455",0.346501779327068,-1.10149474464494,0.808021822147737,0.368705746605212,0.709601252743583
"Dazl",-0.346458475987642,-0.994538593469512,1.19216308696581,0.274893669876879,0.646197937892927
"Gm16459",-0.346431273692399,-3.64803069190526,0.0815663967938089,0.775185795152093,1
"Gm11425",0.346334564002837,-3.64255518847075,0.0622382242677997,0.802992681329584,1
"Rnasel",-0.346334145482463,2.91514800140773,2.37367970684439,0.123395884395934,0.469774490648261
"Gm16897",-0.346329032650832,-0.577073939969161,1.21875366316835,0.269605384852957,0.639196334971524
"Gm24564",-0.346320494757351,-3.13744012693276,0.127053816197755,0.721506516924487,0.984613875556105
"Rubcnl",0.346315799461543,1.59335682080854,1.30621500767715,0.253081093952822,0.617156616013693
"Grik3",-0.346289322689018,5.05536587519473,2.36812582113651,0.123835644139354,0.470822855491041
"Abhd17c",0.34624250923979,5.02233407365791,4.96409459413897,0.0258788600046733,0.247775331214916
"Myl6b",0.346240761786999,4.79121553152976,2.84247146791722,0.0918029129709253,0.41427130370468
"Gm39326",-0.346224674387,-1.49639371495635,1.11377345003037,0.291263152749435,0.663812875548954
"Zfpl1",0.346214419109836,3.73796388944262,4.82948781961239,0.0279769407070002,0.258862332667662
"Hpdl",0.346200745999629,0.139129275305249,1.65706956125403,0.197999450725271,0.544786605815958
